id,name,lat,lon,departure,arrival
2,Buckingham Fountain,41.87651123,-87.62054801,0.0,0.0
3,Shedd Aquarium,41.86722596,-87.61535539,0.0,0.0
4,Burnham Harbor,41.856268,-87.613348,47.0,25.0
5,State St & Harrison St,41.874053,-87.627716,137.0,130.0
6,Dusable Harbor,41.886976,-87.612813,53.0,53.0
7,Field Blvd & South Water St,41.88634906,-87.61751655,36.0,24.0
9,Leavitt St & Archer Ave,41.82879202,-87.68060446,62.0,62.0
11,Jeffery Blvd & 71st St,41.76663824,-87.57645011,61.0,66.0
12,South Shore Dr & 71st St,41.76640946,-87.56568757,0.0,0.0
13,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,3.0,4.0
14,Morgan St & 18th St,41.858086,-87.651073,0.0,0.0
15,Racine Ave & 18th St,41.858166,-87.656495,2.0,1.0
16,Paulina Ave & North Ave,41.910337,-87.670072,11.0,7.0
17,Honore St & Division St,41.903119,-87.673935,67.0,98.0
18,Wacker Dr & Washington St,41.883132,-87.637321,21.0,18.0
19,Throop (Loomis) St & Taylor St,41.868968,-87.659141,24.0,26.0
20,Sheffield Ave & Kingsbury St,41.910522,-87.653106,35.0,36.0
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,42.0,29.0
22,May St & Taylor St,41.8694821,-87.6554864,67.0,70.0
23,Orleans St & Elm St,41.902924,-87.637715,23.0,25.0
24,Fairbanks Ct & Grand Ave,41.89184737,-87.6205802,52.0,51.0
25,Michigan Ave & Pearson St,41.89766,-87.62351,63.0,74.0
26,McClurg Ct & Illinois St,41.890359,-87.617532,29.0,37.0
27,Larrabee St & North Ave,41.91021,-87.6435,20.0,17.0
28,Larrabee St & Menomonee St,41.91468,-87.64332,94.0,102.0
29,Noble St & Milwaukee Ave,41.90068,-87.6626,56.0,46.0
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,85.0,85.0
31,Franklin St & Chicago Ave,41.89674697,-87.63566762,25.0,25.0
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,21.0,24.0
