drop_off_intersection,count
52.0,14535
112.0,34704
154.0,6459
212.0,13419
577.0,19150
641.0,38560
662.0,81601
823.0,24171
994.0,91832
1051.0,99925
1063.0,12620
1265.0,92169
1379.0,24930
1719.0,9145
1806.0,42172
2143.0,45073
2263.0,96544
2467.0,119175
2588.0,22710
2601.0,35699
2730.0,10531
2821.0,2330
2826.0,3564
3010.0,155
3074.0,24068
3383.0,484
3594.0,1026
3741.0,599
3789.0,3474
3945.0,12
18.0,20186
398.0,118072
442.0,52084
452.0,17717
463.0,4522
488.0,45281
639.0,5481
881.0,40610
970.0,110745
1235.0,21102
1430.0,30316
1631.0,92847
2494.0,84532
2498.0,11533
2508.0,13545
2624.0,30837
2721.0,968
2753.0,47929
2876.0,4878
3059.0,3919
3109.0,74630
3142.0,2631
3177.0,1751
3436.0,1188
3635.0,6631
3762.0,19375
3766.0,71
3883.0,20
101.0,38497
149.0,1189
192.0,9245
267.0,54718
303.0,253615
334.0,78027
395.0,14708
541.0,17832
632.0,43393
635.0,24971
742.0,38693
798.0,17087
806.0,4646
831.0,4380
833.0,62692
865.0,186617
923.0,3858
1067.0,126031
1099.0,7988
1345.0,8239
1412.0,12730
1438.0,71186
1536.0,71928
2088.0,28277
2189.0,57087
2210.0,83889
2424.0,38131
2434.0,5822
2463.0,2276
2509.0,5343
2545.0,304
2604.0,11350
2640.0,95790
2726.0,107705
2762.0,9247
2953.0,60524
2982.0,64249
2997.0,2065
3467.0,244
3531.0,4285
3625.0,2524
3831.0,2337
4020.0,571
4025.0,289
4053.0,3055
184.0,3228
311.0,45567
386.0,15777
387.0,43359
663.0,88215
884.0,78641
899.0,6664
960.0,1553
1094.0,18129
1190.0,28953
1272.0,26290
1390.0,774
1396.0,4552
1562.0,83570
1703.0,104385
1722.0,218722
1786.0,11867
1791.0,244108
1829.0,194906
1914.0,74273
1965.0,35503
1988.0,1109
2067.0,1332
2209.0,4605
2218.0,27938
2486.0,89655
2530.0,38852
2619.0,3062
2678.0,56332
2722.0,2593
2899.0,3418
3051.0,36893
3102.0,2421
3273.0,9172
3411.0,1520
3503.0,2686
3512.0,97
3592.0,2729
3733.0,3338
3747.0,4248
3755.0,784
3849.0,20802
20.0,19620
729.0,11559
989.0,12733
997.0,12369
1043.0,628086
1113.0,16372
1213.0,30640
1342.0,1151
1481.0,77946
1785.0,70111
1793.0,156927
1825.0,41777
1864.0,29817
1876.0,12830
1896.0,93972
2074.0,3191
2504.0,8372
2569.0,211
2852.0,72030
2900.0,170489
3033.0,8017
3214.0,2595
3252.0,1640
3313.0,42
3363.0,144
3407.0,10420
3530.0,972
3568.0,3208
3575.0,5557
38.0,25428
67.0,7217
113.0,2110
499.0,44675
801.0,9721
912.0,543
941.0,4595
956.0,20575
1034.0,1009
1526.0,55281
1550.0,70810
1614.0,62316
1624.0,13965
1853.0,55615
1883.0,4905
2101.0,1606
2332.0,30305
2772.0,104106
2785.0,25203
2884.0,1599
3100.0,11486
3137.0,3227
3296.0,11057
3395.0,18497
3424.0,6450
3450.0,5292
3663.0,10372
3697.0,4189
3710.0,1028
3918.0,1101
3.0,8669
136.0,41409
169.0,13798
315.0,58527
453.0,15564
602.0,20310
665.0,70059
708.0,33039
842.0,48338
894.0,16446
917.0,12230
1126.0,15610
1182.0,47450
1398.0,123318
1459.0,14962
1517.0,168653
1542.0,164237
1593.0,157355
1711.0,30301
1905.0,122765
1918.0,25573
2316.0,25768
2322.0,47572
2333.0,115782
2338.0,58009
2351.0,28607
2459.0,58571
2472.0,12828
2502.0,21383
2921.0,1059
3135.0,361
3213.0,7100
3269.0,2991
3427.0,542
3808.0,936
3877.0,5466
4038.0,219
95.0,18485
109.0,34631
183.0,29923
210.0,3258
221.0,16532
359.0,24761
383.0,15743
416.0,16913
528.0,24823
589.0,44112
703.0,6063
791.0,94565
1029.0,46403
1152.0,17096
1180.0,1309
1237.0,13251
1244.0,69215
1370.0,9081
1697.0,43463
1771.0,121571
1788.0,22357
1799.0,118167
1861.0,32587
2154.0,37697
2363.0,54373
2386.0,35555
2482.0,81249
2580.0,935
2829.0,40069
2993.0,6684
3089.0,4927
3113.0,80117
3189.0,3174
3345.0,9458
3430.0,5394
3435.0,1837
3761.0,1221
3793.0,4885
3829.0,1381
3979.0,567
3982.0,637
4043.0,4282
86.0,9750
116.0,38198
282.0,4612
301.0,20946
378.0,9083
515.0,18356
633.0,39995
679.0,36165
741.0,11131
854.0,5514
878.0,7455
1137.0,4405
1185.0,171003
1208.0,178862
1222.0,11474
1294.0,514
1356.0,89726
1381.0,43165
1475.0,170871
1676.0,1037
1772.0,30484
1897.0,22297
2079.0,38763
2280.0,102666
2314.0,60528
2454.0,17913
2671.0,26687
2689.0,1371
2933.0,2534
3166.0,12979
3243.0,37826
3353.0,3136
3399.0,34532
3432.0,1343
3469.0,93
3732.0,1319
3742.0,383
3757.0,848
3805.0,9477
3816.0,1283
3819.0,1344
4076.0,1039
235.0,3147
245.0,40974
305.0,37921
369.0,101197
580.0,94726
694.0,4922
767.0,10233
849.0,10442
963.0,161774
1054.0,5622
1161.0,107634
1176.0,68569
1642.0,86951
1798.0,49422
1811.0,5658
1839.0,210213
1904.0,46530
1968.0,1471
1992.0,3996
2140.0,33628
2246.0,23966
2258.0,3415
2344.0,2245
2419.0,1389
2559.0,55046
2684.0,39399
2745.0,8399
2748.0,9988
2781.0,1539
2817.0,40465
3217.0,60757
3264.0,7451
3268.0,51735
3385.0,6409
3449.0,3221
3477.0,8946
3484.0,4321
3682.0,2766
3764.0,140
3775.0,634
3840.0,496
3873.0,5204
40.0,48296
165.0,9266
226.0,28019
394.0,111433
494.0,54605
540.0,20349
619.0,22165
1114.0,35276
1207.0,44848
1215.0,120670
1266.0,95145
1301.0,52844
1560.0,65765
1606.0,7042
1946.0,81438
2059.0,20620
2061.0,35374
2607.0,48
2665.0,1535
2704.0,60933
2708.0,8390
2839.0,3684
2897.0,4358
2969.0,88460
3164.0,1060
3239.0,181
3295.0,35904
3351.0,5176
3376.0,1777
3610.0,1152
3696.0,5464
3781.0,723
3859.0,1360
4009.0,1436
26.0,12717
82.0,7399
105.0,13202
199.0,45755
217.0,44404
269.0,7682
284.0,9061
377.0,8007
438.0,57041
672.0,55431
858.0,42927
920.0,5621
983.0,44789
1021.0,77887
1039.0,119152
1219.0,185413
1277.0,92880
1599.0,42629
1660.0,22259
1662.0,38312
1764.0,18899
1875.0,42202
2162.0,9619
2349.0,50852
2484.0,94336
3003.0,23697
3046.0,1739
3062.0,1610
3097.0,14445
3194.0,11938
3251.0,3788
3270.0,1248
3323.0,1333
3431.0,830
3499.0,2250
3795.0,1359
3813.0,1825
3957.0,1103
4015.0,2357
88.0,1664
252.0,29186
323.0,11918
336.0,64753
467.0,19854
572.0,2129
582.0,10414
623.0,30472
624.0,75263
625.0,48267
804.0,43239
886.0,25182
1135.0,102008
1513.0,67644
1529.0,34663
1655.0,249212
1796.0,25538
1849.0,91137
2173.0,100905
2221.0,89361
2934.0,4149
3092.0,4865
3104.0,25248
3169.0,1916
3396.0,2964
3405.0,1441
3455.0,5791
3515.0,1244
3521.0,1620
3555.0,2588
3773.0,2019
3924.0,2103
4059.0,5
125.0,3809
209.0,3280
219.0,19768
242.0,10696
247.0,23559
339.0,35438
674.0,29003
837.0,2670
873.0,111544
927.0,5379
990.0,31086
1162.0,23334
1201.0,46687
1306.0,48165
2105.0,35384
2254.0,71745
2325.0,46112
2395.0,5224
2431.0,4693
2616.0,1187
2647.0,190
2715.0,41762
2914.0,12286
2931.0,98975
3036.0,27800
3198.0,69201
3247.0,2184
3344.0,941
3607.0,4676
3618.0,3061
3704.0,2605
3785.0,11126
3895.0,145
4050.0,95
30.0,15341
85.0,99942
157.0,69225
218.0,9714
224.0,2011
227.0,48836
551.0,48134
594.0,14922
629.0,22083
681.0,8092
728.0,21236
747.0,6100
812.0,30830
883.0,5138
1128.0,22034
1224.0,2878
1378.0,6524
1451.0,119030
1490.0,56011
1751.0,28742
1821.0,23911
1951.0,9489
2004.0,5358
2049.0,150670
2099.0,2938
2167.0,53703
2260.0,84504
2404.0,85417
2410.0,6302
2423.0,89405
2563.0,14108
2682.0,4386
2727.0,9495
2754.0,91480
2867.0,87221
3280.0,14994
3596.0,1451
3713.0,627
3772.0,2370
3833.0,926
3854.0,1388
117.0,828
155.0,448
162.0,91491
454.0,17856
500.0,25135
783.0,2094
784.0,22053
846.0,7672
908.0,41986
1008.0,136651
1023.0,32175
1066.0,70277
1089.0,77869
1093.0,63401
1107.0,637675
1148.0,48624
1187.0,48936
1202.0,52823
1437.0,22052
1646.0,18426
1657.0,113682
1686.0,16292
1794.0,29553
2013.0,8854
2044.0,10116
2127.0,59681
2144.0,18612
2147.0,3438
2288.0,9328
2636.0,37428
2766.0,2996
2793.0,279
2853.0,105376
2865.0,68483
2985.0,4519
3095.0,1904
3139.0,8949
3244.0,27999
3259.0,2818
3483.0,821
3628.0,11297
3862.0,6313
3922.0,91
3977.0,2463
32.0,28736
122.0,36155
186.0,29545
193.0,25308
338.0,157776
364.0,4883
519.0,13275
608.0,38089
677.0,67632
724.0,15695
772.0,25674
1017.0,5348
1069.0,9206
1226.0,44427
1252.0,715
1406.0,3120
1472.0,6143
1544.0,82953
1583.0,56566
1966.0,70506
2057.0,36670
2116.0,39429
2165.0,115294
2317.0,9568
2391.0,35853
2743.0,92073
2891.0,1307
2973.0,7124
3065.0,8870
3107.0,6126
3238.0,4935
3257.0,13146
3301.0,3153
3514.0,3495
3585.0,688
3609.0,11832
3674.0,697
3731.0,2392
3786.0,5571
4003.0,3768
17.0,150930
23.0,29083
190.0,6966
351.0,11014
420.0,130934
657.0,80573
683.0,87837
814.0,123911
875.0,34023
965.0,1760
1042.0,10013
1059.0,548619
