,pick_up_date,count
0,2011-01-01,147516
1,2011-01-02,127657
2,2011-01-03,309326
3,2011-01-04,341306
4,2011-01-05,372258
5,2011-01-06,404077
6,2011-01-07,415142
7,2011-01-08,423341
8,2011-01-09,368169
9,2011-01-10,381113
10,2011-01-11,404196
11,2011-01-12,312171
12,2011-01-13,411386
13,2011-01-14,430524
14,2011-01-15,401490
15,2011-01-16,362126
16,2011-01-17,315648
17,2011-01-18,374236
18,2011-01-19,403755
19,2011-01-20,422336
20,2011-01-21,426106
21,2011-01-22,459011
22,2011-01-23,383699
23,2011-01-24,375323
24,2011-01-25,385136
25,2011-01-26,355190
26,2011-01-27,263139
27,2011-01-28,372858
28,2011-01-29,427108
29,2011-01-30,358392
30,2011-01-31,353951
31,2011-02-01,387771
32,2011-02-02,379502
33,2011-02-03,415750
34,2011-02-04,437225
35,2011-02-05,457494
36,2011-02-06,361574
37,2011-02-07,366816
38,2011-02-08,418668
39,2011-02-09,441239
40,2011-02-10,454387
41,2011-02-11,474644
42,2011-02-12,496084
43,2011-02-13,397212
44,2011-02-14,418134
45,2011-02-15,447480
46,2011-02-16,432313
47,2011-02-17,430352
48,2011-02-18,442594
49,2011-02-19,477495
50,2011-02-20,391826
51,2011-02-21,337180
52,2011-02-22,405191
53,2011-02-23,422938
54,2011-02-24,437550
55,2011-02-25,473060
56,2011-02-26,456244
57,2011-02-27,365251
58,2011-02-28,374520
59,2011-03-01,416501
60,2011-03-02,443447
61,2011-03-03,462484
62,2011-03-04,479686
63,2011-03-05,462108
64,2011-03-06,401591
65,2011-03-07,394212
66,2011-03-08,427403
67,2011-03-09,448710
68,2011-03-10,449165
69,2011-03-11,456151
70,2011-03-12,463810
71,2011-03-13,365200
72,2011-03-14,379420
73,2011-03-15,424356
74,2011-03-16,432020
75,2011-03-17,420889
76,2011-03-18,472581
77,2011-03-19,468796
78,2011-03-20,382621
79,2011-03-21,374995
80,2011-03-22,403008
81,2011-03-23,439443
82,2011-03-24,438929
83,2011-03-25,462727
84,2011-03-26,461715
85,2011-03-27,368444
86,2011-03-28,366513
87,2011-03-29,410706
88,2011-03-30,420507
89,2011-03-31,449906
90,2011-04-01,244061
91,2011-04-02,234545
92,2011-04-03,193630
93,2011-04-04,379215
94,2011-04-05,444433
95,2011-04-06,430206
96,2011-04-07,450941
97,2011-04-08,470017
98,2011-04-09,456292
99,2011-04-10,377124
100,2011-04-11,387623
101,2011-04-12,442255
102,2011-04-13,446300
103,2011-04-14,441790
104,2011-04-15,476241
105,2011-04-16,480105
106,2011-04-17,366758
107,2011-04-18,380264
108,2011-04-19,418097
109,2011-04-20,434393
110,2011-04-21,443173
111,2011-04-22,451532
112,2011-04-23,428906
113,2011-04-24,350871
114,2011-04-25,375144
115,2011-04-26,421074
116,2011-04-27,426659
117,2011-04-28,450479
118,2011-04-29,462736
119,2011-04-30,445839
120,2011-05-01,372654
121,2011-05-02,396228
122,2011-05-03,422803
123,2011-05-04,454381
124,2011-05-05,450611
125,2011-05-06,462608
126,2011-05-07,438724
127,2011-05-08,352967
128,2011-05-09,381934
129,2011-05-10,428501
130,2011-05-11,436580
131,2011-05-12,447768
132,2011-05-13,468382
133,2011-05-14,462318
134,2011-05-15,385448
135,2011-05-16,408300
136,2011-05-17,448582
137,2011-05-18,434033
138,2011-05-19,448413
139,2011-05-20,459702
140,2011-05-21,441361
141,2011-05-22,383110
142,2011-05-23,393974
143,2011-05-24,429162
144,2011-05-25,433386
145,2011-05-26,430984
146,2011-05-27,417353
147,2011-05-28,359841
148,2011-05-29,314776
149,2011-05-30,271853
150,2011-05-31,384066
151,2011-06-01,434056
152,2011-06-02,439583
153,2011-06-03,448125
154,2011-06-04,423361
155,2011-06-05,347714
156,2011-06-06,397006
157,2011-06-07,441366
158,2011-06-08,456846
159,2011-06-09,457348
160,2011-06-10,446946
161,2011-06-11,447379
162,2011-06-12,341635
163,2011-06-13,384925
164,2011-06-14,420012
165,2011-06-15,431406
166,2011-06-16,447959
167,2011-06-17,440701
168,2011-06-18,422072
169,2011-06-19,345553
170,2011-06-20,376116
171,2011-06-21,419304
172,2011-06-22,434541
173,2011-06-23,437872
174,2011-06-24,447083
175,2011-06-25,419491
176,2011-06-26,343872
177,2011-06-27,376113
178,2011-06-28,413679
179,2011-06-29,422345
