pick_up_intersection,count
52.0,5926
112.0,50640
154.0,670
212.0,8687
577.0,4824
641.0,28818
662.0,78776
823.0,22215
994.0,126035
1051.0,121482
1063.0,11596
1265.0,81246
1379.0,2594
1719.0,1067
1806.0,41415
2143.0,39546
2263.0,117733
2467.0,123383
2588.0,35503
2601.0,40640
2730.0,5448
2821.0,908
2826.0,201
3010.0,56
3074.0,11048
3383.0,1913
3594.0,90
3741.0,51
3789.0,1575
3945.0,3
18.0,15638
398.0,106575
442.0,56468
452.0,36042
463.0,36291
488.0,20353
639.0,18871
881.0,30707
970.0,130423
1235.0,16982
1430.0,28505
1631.0,130324
2494.0,100990
2498.0,1845
2508.0,14386
2624.0,42752
2721.0,192
2753.0,42104
2876.0,238
3059.0,419
3109.0,56274
3142.0,4452
3177.0,223
3436.0,85
3635.0,585
3762.0,8373
3766.0,39
3883.0,3
101.0,53253
149.0,1017
192.0,4898
267.0,39214
303.0,233534
334.0,88494
395.0,48075
541.0,16999
632.0,29955
635.0,7777
742.0,56777
798.0,3320
806.0,2477
831.0,4011
833.0,104842
865.0,230041
923.0,329
1067.0,113853
1099.0,6521
1345.0,5879
1412.0,1351
1438.0,83960
1536.0,85356
2088.0,28787
2189.0,55730
2210.0,57677
2424.0,11373
2434.0,11615
2463.0,450
2509.0,3889
2545.0,914
2604.0,10013
2640.0,73577
2726.0,76200
2762.0,907
2953.0,42269
2982.0,99807
2997.0,9152
3467.0,344
3531.0,1260
3625.0,220
3831.0,588
4020.0,47
4025.0,17
4053.0,20
184.0,2255
311.0,49930
386.0,10029
387.0,84683
663.0,107613
884.0,129429
899.0,4786
960.0,1262
1094.0,8092
1190.0,36161
1272.0,73224
1390.0,81
1396.0,615
1562.0,99323
1703.0,115608
1722.0,163755
1786.0,1623
1791.0,240239
1829.0,161643
1914.0,55464
1965.0,28159
1988.0,640
2067.0,700
2209.0,2329
2218.0,32400
2486.0,77771
2530.0,43704
2619.0,2647
2678.0,72544
2722.0,1022
2899.0,775
3051.0,69529
3102.0,232
3273.0,13302
3411.0,121
3503.0,156
3512.0,34
3592.0,536
3733.0,136
3747.0,326
3755.0,49
3849.0,6037
20.0,11087
729.0,15796
989.0,5737
997.0,12142
1043.0,402146
1113.0,13963
1213.0,32238
1342.0,188
1481.0,76446
1785.0,56714
1793.0,133170
1825.0,30137
1864.0,23929
1876.0,1232
1896.0,85870
2074.0,2337
2504.0,815
2569.0,355
2852.0,71816
2900.0,178300
3033.0,10550
3214.0,567
3252.0,113
3313.0,13
3363.0,15
3407.0,10711
3530.0,99
3568.0,3214
3575.0,673
38.0,6852
67.0,3205
113.0,1422
499.0,41306
801.0,3344
912.0,247
941.0,248
956.0,18237
1034.0,460
1526.0,53436
1550.0,85770
1614.0,105972
