taxi_id,count
52.0,10022
112.0,15887
154.0,14236
212.0,15306
577.0,15625
641.0,12590
662.0,9765
823.0,17505
994.0,9942
1051.0,12623
1063.0,11360
1265.0,14350
1379.0,11023
1719.0,8653
1806.0,11792
2143.0,13947
2263.0,11755
2467.0,14492
2588.0,15412
2601.0,14793
2730.0,9959
2821.0,14456
2826.0,12336
3010.0,10262
3074.0,9250
3383.0,9991
3594.0,10565
3741.0,13148
3789.0,7824
3945.0,14232
4107.0,14861
4153.0,15326
4168.0,13872
4175.0,11150
4256.0,14868
4309.0,15823
4542.0,9814
4579.0,11338
4679.0,9513
4706.0,7764
4756.0,7162
4777.0,1361
5075.0,967
5209.0,7660
5297.0,9015
5346.0,2302
5367.0,12056
5369.0,15791
5493.0,10832
5506.0,14571
5598.0,12151
5717.0,1047
5725.0,12250
5748.0,13113
5865.0,11908
5918.0,9464
6022.0,12703
6106.0,15897
6388.0,15308
6392.0,16118
6555.0,12681
6575.0,8287
6652.0,16269
6741.0,14276
6815.0,14022
6854.0,10951
7040.0,12024
7252.0,13462
7305.0,6952
7460.0,13388
7542.0,12007
7792.0,12589
7858.0,13091
7932.0,4790
7975.0,10542
7996.0,10674
8022.0,12372
8035.0,11171
8132.0,3718
8210.0,12235
8364.0,11841
8382.0,14605
8524.0,4651
8561.0,9454
9054.0,16162
9317.0,12753
9508.0,668
9605.0,13809
9797.0,2925
9812.0,10717
9842.0,3813
9884.0,6244
9945.0,12891
9966.0,1190
10184.0,13150
10335.0,11110
10352.0,8070
10493.0,6265
10530.0,12473
10819.0,1410
10952.0,7452
11052.0,11297
11110.0,10845
11269.0,9619
11362.0,7979
11751.0,13821
11800.0,9815
12017.0,2311
12071.0,14496
12154.0,14527
12264.0,3652
12335.0,10660
12342.0,11800
12396.0,3064
12554.0,5684
12624.0,8568
12857.0,5493
12982.0,3781
12987.0,2400
13207.0,3599
13304.0,2199
13378.0,3
18.0,13870
398.0,14301
442.0,13115
452.0,12815
463.0,14559
488.0,14161
639.0,11622
881.0,14276
970.0,8568
1235.0,12715
1430.0,8606
1631.0,16054
2494.0,13535
2498.0,12375
2508.0,19114
2624.0,14954
2721.0,15190
2753.0,15339
2876.0,9714
3059.0,13294
3109.0,5247
3142.0,11123
3177.0,12769
3436.0,12792
3635.0,11261
3762.0,6471
3766.0,10021
3883.0,8421
4188.0,13102
4213.0,6066
4316.0,13696
4440.0,9133
4539.0,9333
4691.0,13571
4795.0,14651
4812.0,6357
4942.0,11823
5024.0,8442
5179.0,4723
5398.0,11774
5508.0,11952
5613.0,8701
5675.0,11759
5722.0,15587
5913.0,11070
6063.0,10659
6203.0,10219
6267.0,13840
6296.0,14294
6381.0,11021
6412.0,13958
6450.0,13464
6516.0,14462
6650.0,9377
6682.0,7813
6734.0,18223
6848.0,13057
7430.0,13084
7505.0,8052
7571.0,8819
7596.0,9930
7618.0,10476
7723.0,10531
7748.0,11359
7780.0,14202
7808.0,11535
7836.0,9860
8183.0,12554
8186.0,8895
8198.0,12822
8575.0,5920
8672.0,6843
8817.0,11135
9031.0,14392
9152.0,9054
9303.0,8542
9358.0,4453
9383.0,9657
9559.0,8355
9640.0,12321
9687.0,17020
9695.0,11446
9912.0,4403
10102.0,11917
10587.0,6520
10672.0,14112
10704.0,474
10792.0,14275
11016.0,9529
11073.0,3175
11426.0,10590
11684.0,4725
12213.0,6590
12220.0,10541
12361.0,13613
12384.0,3064
12446.0,4446
12593.0,5229
12677.0,6423
12679.0,8908
12806.0,5139
12883.0,9768
13049.0,5802
13064.0,8423
13070.0,4382
13081.0,8359
13218.0,4571
101.0,11114
149.0,10274
192.0,15484
267.0,15448
303.0,6478
334.0,12037
395.0,14082
541.0,13415
632.0,15248
635.0,13549
742.0,14863
798.0,13460
806.0,11390
831.0,14950
833.0,14582
865.0,11931
923.0,18131
1067.0,15325
1099.0,16332
1345.0,12066
1412.0,12457
1438.0,12734
1536.0,8805
2088.0,13974
2189.0,19044
2210.0,14207
2424.0,14002
2434.0,13069
2463.0,15255
2509.0,11622
2545.0,17260
2604.0,13303
2640.0,17574
2726.0,16717
2762.0,8932
2953.0,11377
2982.0,14137
2997.0,13255
3467.0,8286
3531.0,12488
3625.0,13603
3831.0,9365
4020.0,9697
4025.0,12837
4053.0,9914
4270.0,12961
4913.0,9095
4966.0,9893
4972.0,13943
4985.0,13520
5023.0,3710
5081.0,7027
5152.0,14321
5249.0,7286
5342.0,10856
5350.0,13925
5424.0,11832
5600.0,12139
5715.0,13160
5872.0,16393
6112.0,15629
6143.0,11939
6154.0,14725
